time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
14.633,0.235297,-0.145593,0.0340062,0,0,0,0,
14.643,0.2353,-0.14602,0.0340069,0,0,0,0,
14.653,0.235465,-0.146472,0.0340119,0,0,0,0,
14.663,0.235548,-0.146176,0.0340137,0,0,0,0,
14.673,0.23559,-0.146552,0.0340129,0,0,0,0,
14.683,0.235298,-0.146362,0.0340058,0,0,0,0,
14.693,0.235302,-0.146406,0.0340058,0,0,0,0,
14.703,0.235302,-0.145912,0.0340061,0,0,0,0,
14.723,0.235269,-0.146201,0.0340046,0,0,0,0,
14.733,0.235287,-0.146326,0.0340051,0,0,0,0,
14.743,0.235296,-0.146387,0.0340056,0,0,0,0,
14.753,0.235465,-0.146149,0.0340095,0,0,0,0,
14.763,0.23555,-0.146018,0.0340106,0,0,0,0,
14.773,0.235591,-0.145946,0.0340087,0,0,0,0,
14.783,0.235298,-0.145701,0.0340029,0,0,0,0,
14.793,0.235302,-0.146074,0.0340022,0,0,0,0,
14.813,0.235554,-0.146709,0.0340038,0,0,0,0,
14.823,0.235595,-0.146815,0.0340026,0,0,0,0,
14.833,0.2353,-0.145909,0.0340009,0,0,0,0,
14.843,0.235304,-0.146174,0.0340007,0,0,0,0,
14.853,0.235473,-0.146539,0.0340017,0,0,0,0,
14.863,0.235559,-0.146723,0.0340029,0,0,0,0,
14.873,0.235602,-0.146813,0.0340026,0,0,0,0,
14.883,0.235304,-0.146418,0.0340012,0,0,0,0,
14.893,0.235308,-0.146425,0.0340016,0,0,0,0,
14.903,0.235309,-0.145913,0.0340024,0,0,0,0,
14.914,0.235476,-0.146386,0.0340047,0,0,0,0,
14.923,0.235273,-0.146309,0.0340028,0,0,0,0,
14.933,0.235292,-0.146366,0.0340035,0,0,0,0,
14.943,0.235301,-0.14588,0.0340042,0,0,0,0,
14.953,0.235306,-0.145633,0.0340045,0,0,0,0,
14.964,0.235477,-0.146229,0.0340079,0,0,0,0,
